x,y1,y2,y3,y4,y5,y6
11:00:16,6,24,,,,
11:00:17,6,24,,,,
11:00:18,6,24,,,,
11:00:19,6,24,,,,
11:00:20,12,24,,,,
11:00:21,12,24,,,,
11:00:22,295,86,800,,,
11:00:23,411,191,,,400,
11:00:24,411,295,,,,
11:00:25,431,287,,,,
11:00:26,509,283,,,,
11:00:27,563,283,,,,
11:00:28,541,271,,,,
11:00:29,541,271,,,,
11:00:30,541,271,,,,
11:00:31,583,293,,,,
11:00:32,569,269,,,,
11:00:33,569,271,,,,
11:00:34,569,297,,,,
11:00:35,577,279,,,,
11:00:36,577,279,,,,
11:00:37,569,293,,,,
11:00:38,555,303,,,,
11:00:39,583,303,,,,
11:00:40,583,309,,,,
11:00:41,565,309,,,,
11:00:42,565,309,,,,
11:00:43,563,283,,,,
11:00:44,563,283,,,,
11:00:45,563,295,,,,
11:00:46,567,303,,,,
11:00:47,567,311,,,,
11:00:48,567,305,,,,
11:00:49,577,321,,,,
11:00:50,577,299,,,,
11:00:51,577,319,,,,
11:00:52,577,319,,,,
11:00:53,547,313,,,,
11:00:54,547,313,,,,
11:00:55,571,283,,,,
11:00:56,585,291,,,,
11:00:57,585,297,,,,
11:00:58,591,297,,,,
11:00:59,575,311,,,,
11:01:00,575,311,,,,
11:01:01,389,143,,,,
11:01:02,435,197,,,,
11:01:03,435,263,,,,
11:01:04,605,327,,,,
11:01:05,12,327,,600,,200
11:01:06,12,10,,,,
11:01:07,12,10,,,,
11:01:08,12,10,,,,
11:01:09,12,10,,,,
11:01:10,12,10,,,,
11:01:11,12,10,,,,
11:01:12,12,10,,,,
11:01:13,12,10,,,,
11:01:14,12,10,,,,
11:01:15,12,10,,,,
11:01:16,12,10,,,,
11:01:17,8,10,,,,
11:01:18,8,10,,,,
11:01:19,8,10,,,,
11:01:20,8,10,,,,
11:01:21,102,10,,,,
11:01:22,1425,395,800,,400,
11:01:23,855,481,,,,
11:01:24,685,443,,,,
11:01:25,685,443,,,,
11:01:26,685,443,,,,
11:01:27,685,443,,,,
11:01:28,697,443,,,,
11:01:29,697,443,,,,
11:01:30,697,443,,,,
11:01:31,697,443,,,,
11:01:32,691,443,,,,
11:01:33,691,443,,,,
11:01:34,691,443,,,,
11:01:35,691,443,,,,
11:01:36,691,443,,,,
11:01:37,701,443,,,,
11:01:38,701,443,,,,
11:01:39,701,443,,,,
11:01:40,701,443,,,,
11:01:41,701,443,,,,
11:01:42,701,443,,,,
11:01:43,701,441,,,,
11:01:44,701,441,,,,
11:01:45,683,441,,,,
11:01:46,683,441,,,,
11:01:47,683,443,,,,
11:01:48,683,443,,,,
11:01:49,683,443,,,,
11:01:50,683,443,,,,
11:01:51,683,443,,,,
11:01:52,683,443,,,,
11:01:53,683,443,,,,
11:01:54,683,443,,,,
11:01:55,683,443,,,,
11:01:56,709,443,,,,
11:01:57,709,443,,,,
11:01:58,709,443,,,,
11:01:59,709,443,,,,
11:02:00,709,443,,,,
11:02:01,613,399,,,,
11:02:02,103,295,,,,
11:02:03,459,387,800,600,,
11:02:04,24,433,,,,
11:02:05,24,46,,600,,200
11:02:06,24,46,,,,
11:02:07,24,46,,,,
11:02:08,24,46,,,,
11:02:09,24,46,,,,
11:02:10,24,46,,,,
11:02:11,24,46,,,,
11:02:12,24,46,,,,
11:02:13,24,46,,,,
11:02:14,24,46,,,,
11:02:15,24,46,,,,
11:02:16,16,46,,,,
11:02:17,16,46,,,,
11:02:18,16,46,,,,
11:02:19,16,46,,,,
11:02:20,16,46,,,,
11:02:21,16,46,,,,
11:02:22,16,6,,,,
11:02:23,16,6,,,,
11:02:24,16,6,,,,
11:02:25,16,6,,,,
11:02:26,16,6,,,,
11:02:27,16,6,,,,
11:02:28,16,6,,,,
11:02:29,16,6,,,,
11:02:30,16,6,,,,
11:02:31,16,6,,,,
11:02:32,16,6,,,,
11:02:33,16,6,,,,
11:02:34,16,6,,,,
11:02:35,16,6,,,,
11:02:36,16,6,,,,
11:02:37,16,6,,,,
11:02:38,16,6,,,,
11:02:39,16,6,,,,
11:02:40,16,6,,,,
11:02:41,16,6,,,,
11:02:42,16,6,,,,
11:02:43,16,6,,,,
11:02:44,16,6,,,,
11:02:45,16,6,,,,
11:02:46,16,6,,,,
11:02:47,16,6,,,,
11:02:48,16,6,,,,
11:02:49,16,6,,,,
11:02:50,16,6,,,,
11:02:51,16,6,,,,
11:02:52,16,6,,,,
11:02:53,16,6,,,,
11:02:54,16,6,,,,
11:02:55,16,6,,,,
11:02:56,16,6,,,,
11:02:57,16,6,,,,
11:02:58,16,6,,,,
11:02:59,16,6,,,,
11:03:00,16,6,,,,
11:03:01,16,6,,,,
11:03:02,16,6,,,,
11:03:03,16,6,,,,
11:03:04,16,6,,,,
11:03:05,16,6,,,,
11:03:06,16,6,,,,
11:03:07,16,6,,,,
11:03:08,16,6,,,,
11:03:09,16,6,,,,
11:03:10,16,6,,,,
11:03:11,16,6,,,,
11:03:12,16,6,,,,
11:03:13,6,6,,,,
11:03:14,6,6,,,,
11:03:15,6,6,,,,
11:03:16,6,6,,,,
11:03:17,6,6,,,,
11:03:18,6,6,,,,
11:03:19,6,6,,,,
11:03:20,6,6,,,,
11:03:21,6,6,,,,
11:03:22,6,6,,,,
11:03:23,6,6,,,,
11:03:24,6,6,,,,
11:03:25,6,6,,,,
11:03:26,6,6,,,,
11:03:27,6,6,,,,
11:03:28,6,6,,,,
11:03:29,6,6,,,,
11:03:30,6,6,,,,
11:03:31,6,6,,,,
11:03:32,6,6,,,,
11:03:33,6,6,,,,
11:03:34,6,6,,,,
11:03:35,6,6,,,,
11:03:36,6,6,,,,
11:03:37,6,6,,,,
11:03:38,6,6,,,,
11:03:39,6,6,,,,
11:03:40,6,6,,,,
11:03:41,167,44,,,,
11:03:42,167,44,800,,,
11:03:43,267,261,,,400,
11:03:44,219,557,,,,
11:03:45,219,471,,,,
11:03:46,359,217,,,,
11:03:47,359,175,,,,
11:03:48,359,175,,,,
11:03:49,363,175,,,,
11:03:50,363,175,,,,
11:03:51,363,175,,,,
11:03:52,363,175,,,,
11:03:53,373,175,,,,
11:03:54,385,175,,,,
11:03:55,385,175,,,,
11:03:56,371,175,,,,
11:03:57,371,175,,,,
11:03:58,371,175,,,,
11:03:59,371,175,,,,
11:04:00,371,175,,,,
11:04:01,371,175,,,,
11:04:02,361,175,,,,
11:04:03,361,175,,,,
11:04:04,361,175,,,,
11:04:05,361,175,,,,
11:04:06,361,175,,,,
11:04:07,285,401,,,,
11:04:08,503,515,,,,
11:04:09,341,445,,,,
11:04:10,575,599,,,,
11:04:11,32,34,,600,,200
11:04:12,32,34,,,,
11:04:13,32,34,,,,
11:04:14,32,88,,,,
11:04:15,211,233,800,,,
11:04:16,473,469,,,400,
11:04:17,765,297,,,,
11:04:18,765,297,,,,
11:04:19,533,457,,,,
11:04:20,503,421,,,,
11:04:21,503,401,,,,
11:04:22,499,417,,,,
11:04:23,525,431,,,,
11:04:24,517,419,,,,
11:04:25,499,391,,,,
11:04:26,505,411,,,,
11:04:27,533,383,,,,
11:04:28,533,399,,,,
11:04:29,515,401,,,,
11:04:30,517,379,,,,
11:04:31,497,421,,,,
11:04:32,503,407,,,,
11:04:33,531,397,,,,
11:04:34,531,433,,,,
11:04:35,525,401,,,,
11:04:36,525,401,,,,
11:04:37,523,419,,,,
11:04:38,525,431,,,,
11:04:39,525,383,,,,
11:04:40,499,395,,,,
11:04:41,523,403,,,,
11:04:42,517,421,,,,
11:04:43,535,435,,,,
11:04:44,513,417,,,,
11:04:45,519,431,,,,
11:04:46,515,401,,,,
11:04:47,499,427,,,,
11:04:48,421,369,,,,
11:04:49,421,333,,,,
11:04:50,407,375,,,,
11:04:51,361,241,,,,
11:04:52,669,443,,,,
11:04:53,135,143,,600,,
11:04:54,52,143,800,,,200
11:04:55,52,22,,600,,
11:04:56,52,22,,,,
11:04:57,52,22,,,,
11:04:58,52,22,,,,
11:04:59,52,22,,,,
11:05:00,52,22,,,,
11:05:01,52,22,,,,
11:05:02,52,22,,,,
11:05:03,52,22,,,,
11:05:04,12,22,,,,
11:05:05,12,22,,,,
11:05:06,12,22,,,,
11:05:07,12,22,,,,
11:05:08,12,22,,,,
11:05:09,12,16,,,,
11:05:10,12,16,,,,
11:05:11,12,16,,,,
11:05:12,12,16,,,,
11:05:13,12,16,,,,
11:05:14,12,16,,,,
11:05:15,12,16,,,,
11:05:16,12,16,,,,
11:05:17,12,16,,,,
11:05:18,12,16,,,,
11:05:19,12,16,,,,
11:05:20,12,16,,,,
